23-08-21 17:54:20.964 : Beta-------------------------------->0
23-08-21 17:54:20.965 : Writing to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_exp/image_samples/msi_sigma_0,05_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:20.965 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_logger_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:28.762 : iteration: 210, psnr: 6.01479958946449, psnr_best: 6.0245082314114855
23-08-21 17:54:28.781 : iteration: 211, psnr: 6.023210671520422, psnr_best: 6.0245082314114855
23-08-21 17:54:28.801 : iteration: 212, psnr: 6.020798308467451, psnr_best: 6.0245082314114855
23-08-21 17:54:28.821 : iteration: 213, psnr: 6.024923491311424, psnr_best: 6.024923491311424
23-08-21 17:54:28.851 : iteration: 214, psnr: 6.019071619352241, psnr_best: 6.024923491311424
23-08-21 17:54:28.869 : iteration: 215, psnr: 6.019459982487241, psnr_best: 6.024923491311424
23-08-21 17:54:28.886 : iteration: 216, psnr: 6.0228846799567055, psnr_best: 6.024923491311424
23-08-21 17:54:28.919 : iteration: 217, psnr: 6.025751607607937, psnr_best: 6.025751607607937
23-08-21 17:54:28.937 : iteration: 218, psnr: 6.022639722134102, psnr_best: 6.025751607607937
23-08-21 17:54:28.955 : iteration: 219, psnr: 6.0254427440011025, psnr_best: 6.025751607607937
23-08-21 17:54:28.974 : iteration: 220, psnr: 6.031787450067509, psnr_best: 6.031787450067509
23-08-21 17:54:28.994 : iteration: 221, psnr: 6.032689890909207, psnr_best: 6.032689890909207
23-08-21 17:54:29.013 : iteration: 222, psnr: 6.024569305659954, psnr_best: 6.032689890909207
23-08-21 17:54:29.032 : iteration: 223, psnr: 6.0336146468110465, psnr_best: 6.0336146468110465
23-08-21 17:54:29.049 : iteration: 224, psnr: 6.033308164560908, psnr_best: 6.0336146468110465
23-08-21 17:54:29.067 : iteration: 225, psnr: 6.028499824724021, psnr_best: 6.0336146468110465
23-08-21 17:54:29.086 : iteration: 226, psnr: 6.034657977400854, psnr_best: 6.034657977400854
23-08-21 17:54:29.107 : iteration: 227, psnr: 6.034256269241304, psnr_best: 6.034657977400854
23-08-21 17:54:29.130 : iteration: 228, psnr: 6.04310832879465, psnr_best: 6.04310832879465
23-08-21 17:54:29.148 : iteration: 229, psnr: 6.033979486137193, psnr_best: 6.04310832879465
23-08-21 17:54:29.166 : iteration: 230, psnr: 6.03598634985879, psnr_best: 6.04310832879465
23-08-21 17:54:29.183 : iteration: 231, psnr: 6.036415378790386, psnr_best: 6.04310832879465
23-08-21 17:54:29.203 : iteration: 232, psnr: 6.041894397782062, psnr_best: 6.04310832879465
23-08-21 17:54:29.221 : iteration: 233, psnr: 6.039269438698248, psnr_best: 6.04310832879465
23-08-21 17:54:29.239 : iteration: 234, psnr: 6.042114690387378, psnr_best: 6.04310832879465
23-08-21 17:54:29.260 : iteration: 235, psnr: 6.045333056695984, psnr_best: 6.045333056695984
23-08-21 17:54:29.277 : iteration: 236, psnr: 6.043793380279663, psnr_best: 6.045333056695984
23-08-21 17:54:29.296 : iteration: 237, psnr: 6.050243171247365, psnr_best: 6.050243171247365
23-08-21 17:54:29.320 : iteration: 238, psnr: 6.045800999372877, psnr_best: 6.050243171247365
